flag,vtuber_name,platform,platform_uid,follower
0,Hanser,bilibili,11073,5072684
0,泠鸢yousa,bilibili,282994,3417737
0,多多poi,bilibili,11253297,3018575
1,永雏塔菲,bilibili,1265680561,2581151
0,花园花玲,bilibili,7966,2532176
0,祖娅纳惜,bilibili,3046429,2310154
0,兰音Reine,bilibili,698029620,2282723
0,shourei小N,bilibili,249118,2173955
0,欠打精灵,bilibili,401480763,2144508
1,菜菜子Nanako,bilibili,595407557,2141956
0,神乐七奈,bilibili,386900246,2128296
0,Mahoro Kano,bilibili,316381099,2099960
0,诺子喵呜,bilibili,10276136,2041681
0,绊爱,bilibili,1473830,1999663
0,宴宁ccccc,bilibili,14897804,1897499
1,嘉然,bilibili,672328094,1866276
0,Asaki大人,bilibili,194484313,1860572
1,AIChannel中国绊爱,bilibili,484322035,1762203
0,阿萨Aza,bilibili,480680646,1717502
0,墨茶Official,bilibili,212535360,1702518
0,C酱です,bilibili,67141,1693899
0,鹿鸣,bilibili,488836173,1691816
0,禁漫娘西丝特,bilibili,1398337493,1677176
0,折原露露,bilibili,631070414,1576965
0,夜车Azuya,bilibili,33064694,1571140
0,陆鳐LuLu,bilibili,1856528671,1549616
0,洛少爷,bilibili,1447574,1542244
0,米游姬,bilibili,510189715,1533224
0,彩虹酱哇,bilibili,15076745,1502845
0,真红莉爱official,bilibili,1485277312,1438848
0,铃乃Chan,bilibili,471322521,1421587
0,一块电鹿板,bilibili,471723540,1360202
0,小狼XF,bilibili,298484,1359060
0,局长きょくちょ,bilibili,1517060220,1342595
0,慕容云磊,bilibili,20601676,1340774
0,绯吧official,bilibili,657516,1276081
0,月隐空夜,bilibili,49631892,1267213
0,Vox_EN_Official,bilibili,1775966996,1219238
0,亮_Sama,bilibili,412630000,1214847
0,生命幻象,bilibili,742365,1200575
0,符瑶koritsu,bilibili,2109776,1194916
0,穆小泠,bilibili,43272050,1173259
1,雫るる,bilibili,387636363,1168512
0,尼奈nine_Official,bilibili,163653,1158206
0,小只芋,bilibili,375191059,1156945
1,阿梓从小就很可爱,bilibili,7706705,1141008
0,奶油-cream-,bilibili,3493124999482225,1132690
1,星瞳official,bilibili,401315430,1127176
0,Vedal和Neuro-sama,bilibili,3546729368520811,1126847
0,夏露露Ruru,bilibili,1486340861,1118059
1,七海Nana7mi,bilibili,434334701,1111415
0,乃琳,bilibili,672342685,1110873
0,早稻叽,bilibili,1950658,1110141
0,時雨羽衣,bilibili,2601367,1104239
0,悠一wakareno,bilibili,627676911,1104153
0,Hiiro,bilibili,508963009,1089733
0,安晴Ankii,bilibili,44903085,1089538
0,进击的冰糖,bilibili,198297,1085848
0,全棉时代,bilibili,2038413965,1071594
0,果宝Official,bilibili,3546569288714792,1068844
0,咩栗,bilibili,745493,1023138
0,shoto,bilibili,1601895109,1018701
0,自由魂儿儿儿,bilibili,1282271864,971541
0,呜米,bilibili,617459493,968055
0,夏川玥玥,bilibili,1802011210,964661
0,i御十二,bilibili,607286,945100
0,扶桑大红花丶,bilibili,3985676,920307
0,新月冰冰,bilibili,3295,914988
0,-烛灵儿-,bilibili,399815233,913962
